Authors,Title,Year,Keywords,Abstract,Source
Bayram Ali Temel; Hasan Basri Başağa,Automated code compliance check of residential buildings for parking regulation in Turkey,2022,,"Compliance inspection of a building – following legislated rules during the design phase – is a manual, time-consuming, error-prone and labour-intensive process that relies primarily on 2D drawings. Building Information Modelling (BIM) innovations enable automatic compliance inspection of buildings against relevant regulations. A BIM model (in Industry Foundation Classes format) contains all pertinent 3D geometric and semantic data of a building. Using these BIM/IFC data, this study developed a program (intended for use by Turkish municipalities, but applicable elsewhere) that automatically checks a building’s compliance with area parking requirements. This paper presents the program’s development and test results. The program simplifies compliance checking by determining the required parking area size and number of parking spaces according to Turkish residential parking regulations, and by performing the checks accordingly. Although not yet commercially implemented, the program can provide convenience and speed to stakeholders (architects, engineers) during design and review, while also minimizing error rates:contentReference[oaicite:30]{index=30}:contentReference[oaicite:31]{index=31}",DeepSearch
Orlando Cejas Amaral; Sallam Abualhaija; Damiano Torre; Mehrdad Sabetzadeh; Lionel C. Briand,AI-Enabled Automation for Completeness Checking of Privacy Policies,2022,,"Technological advances in information sharing have raised concerns about data protection... In this paper, we propose AI-based automation for the completeness checking of privacy policies... our approach resulted in a precision of 92.9% and recall of 89.8%, significantly improving over a keyword-based baseline:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}.",DeepSearch
Orlando Cejas Amaral; Muhammad Ilyas Azeem; Sallam Abualhaija; Lionel C. Briand,NLP-based Automated Compliance Checking of Data Processing Agreements against GDPR,2023,,"When the entity processing personal data (the processor) differs from the one collecting personal data (the controller), checking the compliance of DPAs is challenging... We propose an automated solution that leverages NLP technologies to check a given DPA against GDPR requirements... The approach achieved ~89.1% precision and 82.4% recall, outperforming an off-the-shelf NLP baseline by ~20 percentage points in accuracy:contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}.",DeepSearch
Orlando Cejas Amaral; Sallam Abualhaija; Lionel C. Briand,ML-Based Compliance Verification of Data Processing Agreements against GDPR,2023,,"Verifying DPA compliance entirely manually is time-consuming and error-prone. This paper proposes a machine learning-based strategy for GDPR compliance checking in DPAs by predicting the presence of key information types. On 30 real DPAs, the approach detected 483/582 actual violations (83.0% recall) with 83.9% precision, comparable to a rule-based method. The study discusses factors (data availability, expert input) affecting when ML vs. rule-based solutions are preferable:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}.",DeepSearch
Yian Chen; Huixian Jiang,Optimizing Automated Compliance Checking with Ontology-Enhanced NLP: Case in the Fire Safety Domain,2024,,"Fire safety compliance checking (FSCC) requires interpreting numerous spatial rules in fire codes. This study proposes an automated framework combining ontology and NLP to interpret fire regulation rules. Using pre-trained language models, concepts and relationships are extracted, a domain-specific ontology is established, and spatial knowledge is transformed into logical clauses based on semantic consistency, improving the rule interpretation and compliance checking accuracy:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}.",DeepSearch
Junlong Peng; Xiangjun Liu,Automated Code Compliance Checking Research Based on BIM and Knowledge Graph,2023,,"Traditional drawing reviews are manual and inefficient. This study uses BIM and knowledge graph technology to automatically check building code compliance. Regulatory provisions are transformed into a machine-readable structured format using NLP to build a human–machine-readable knowledge graph. BIM model data are exported and mapped to rule representations; compliance is then automatically checked. An example verifies the method’s feasibility, addressing “manual dependency” and “inefficiency” in code compliance reviews:contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}.",DeepSearch
Yukang Wang; Yue Liu; Haozhe Cai; Jia Wang; Xiaoping Zhou,An Automated Fire Code Compliance Checking Jointly Using BIM and Natural Language Processing,2023,,"Fire code compliance checking ensures building safety by verifying designs against fire regulations. This paper presents a BIM-based ACC (Automated Compliance Checking) system that uses NLP to analyze spatial geometric relationships of building components. The framework divides ACC into building model parsing, code knowledge translation (using NLP to formalize spatial stipulations), and compliance result reporting. In tests on various building types, the proposed system demonstrated high recall and efficient, accurate compliance checking:contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}.",DeepSearch
Nanjiang Chen; Xuhui Lin; Hai Jiang; Yi An,Automated BIM Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,2024,,"Ensuring AEC projects comply with complex regulations is challenging. Traditional manual checking is inefficient. NLP and deep learning have improved rule interpretation, but need extensive data and tuning. This study introduces an ACC framework integrating a Large Language Model (LLM), deep learning, and ontology. LLM few-shot learning reduces the need for large labeled datasets. Deep learning first classifies regulatory text to aid the LLM’s structured information extraction. This combined approach significantly improves automated processing of regulatory texts, offering a scalable solution for compliance checking in construction:contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}.",DeepSearch
Jin Wu; Xiaorui Xue; Jiansong Zhang,"Invariant Signature, Logic Reasoning, and Semantic NLP-Based Automated Building Code Compliance Checking (I-SNACC) Framework",2023,,"Manual building code compliance checks are costly and error-prone. With BIM, automation is feasible but existing methods have limited adaptability across different codes. This paper proposes I-SNACC, a framework requiring minimal user input for fully automated compliance checking using invariant signatures, logic reasoning, and semantic NLP. A prototype was tested on Chapter 10 of the 2015 International Building Code using two real projects, achieving 95.2% precision and 100% recall in detecting non-compliance. The framework increases automation and reduces manual effort compared to state-of-the-art methods:contentReference[oaicite:14]{index=14}:contentReference[oaicite:15]{index=15}.",DeepSearch
Sunday O. Olatunji; Abdulrahman S. Almuhaidib; Abdulaziz S. Alhuwaishil; Ahmad S. Alarfaj; Khalifah W. Alzwaimel; Hassan A. Alsaleem; Abdulaziz A. Alsudais; Naeem M. Owaida; Fahd A. Alhaidari; Sghaier R. Chabani,Automating Compliance Evidence Extraction with Machine Learning,2025,,"This study reviews the intersection of cybersecurity and compliance, highlighting automation’s benefits in compliance evidence processing. It explores how machine learning can analyze documents to verify if they meet required evidence standards. Compliance assessments typically demand manual review of voluminous documentation. By automating with ML, significant time and cost savings and accuracy improvements are achieved. The paper provides a thorough summary of recent ML-driven compliance automation approaches, discussing algorithms, datasets, and outcomes in the domain:contentReference[oaicite:16]{index=16}:contentReference[oaicite:17]{index=17}.",DeepSearch
Ruben Kruiper; Bimal Kumar; Richard Watson; Farhad Sadeghineko; Alasdair J. G. Gray; Ioannis Konstas,A Platform-Based NLP-Driven Strategy for Digitalising Regulatory Compliance Processes (Built Environment),2024,,"Digitalising regulatory compliance has gained momentum, especially after the 2017 Grenfell fire. This paper presents i-ReC (intelligent Regulatory Compliance), a comprehensive platform that applies NLP, machine learning, and Semantic Web technologies to process actual regulatory documents for compliance checking. The approach handles challenges like ambiguous language, inconsistent terminology, and multi-word expressions. A semantic search engine was developed and tested on 420 UK building regulation documents, consistently outperforming other engines on retrieval tasks. The work underscores the importance of extracting requirements from large regulatory corpora to enable end-to-end automated compliance checking of building designs:contentReference[oaicite:18]{index=18}:contentReference[oaicite:19]{index=19}.",DeepSearch
Omar Doukari; David Greenwood; Kay Rogage; Mohamad Kassem,"Object-centred automated compliance checking: a novel, bottom-up approach",2022,,"Building Information Modelling (BIM) is changing how built assets are delivered and operated. A built asset is represented as a set of objects, each with an identity, attributes, and relations. This object-oriented nature enables new approaches for ensuring compliance with a range of requirements (e.g. industry guidelines, project-specific requirements, building codes and standards). Furthermore, bottom-up design approaches are known to be more suitable for quality control and error detection. Based on an adapted simulated annealing concept, this paper proposes an automated compliance checking classification and identifies a set of desired characteristics that such methods should fulfill. It then demonstrates a bottom-up object-centered approach for automated model checking with a corresponding plugin prototype. The approach enables four key processes and satisfies all desired characteristics of compliance checking methods, including content validation, model completeness, smart object checking, and design option checking. Two case studies are used to demonstrate feasibility and accuracy: all four steps were successfully completed, and results show savings of around 125 minutes per object compared to traditional manual methods:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}",DeepSearch
Jiang Liu; Jianyong Shi; Chaoyu Wang,Multi-ontology fusion and rule development to facilitate automated code compliance checking using BIM and rule-based reasoning,2022,,"This study presents a novel approach that combines multiple ontologies and rule-based reasoning to automate building code compliance checking using BIM. By fusing ontologies from different domains and formalizing compliance rules, the method enhances automated rule interpretation and reasoning in compliance checking. The approach uses BIM models (in IFC format) and a set of fused ontologies to represent regulatory knowledge, enabling an automated reasoning engine to check the BIM model against code requirements. A case study demonstrates that the multi-ontology and rule-based framework can improve the automation and accuracy of compliance checking compared to traditional methods:contentReference[oaicite:3]{index=3}:contentReference[oaicite:4]{index=4}",DeepSearch
Bilal Aslam; Tariq Umar,Automated code compliance checking through building information modelling,2023,,"The design, construction, and handover of building projects must comply with local authority rules. Manual assessment of drawings against complex rule sets is cumbersome, inconsistent, costly, and error-prone, causing major delays. This research develops an automated code compliance checking process using BIM. Shortcomings of manual code compliance were identified via a review of existing systems and confirmed through expert interviews. A new automated compliance checking system with BIM integration was then developed and evaluated. The automated BIM-based code checking process reduced review time from about one week to roughly six hours. However, feedback indicated that architects would require higher fees to produce complete BIM models. Implementing automated code compliance via BIM in municipal processes can raise industry innovation and support progress toward several UN Sustainable Development Goals:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}",DeepSearch
Junlong Peng; Xiangjun Liu,Automated code compliance checking research based on BIM and knowledge graph,2023,,"Automated code compliance checking plays an important role in advancing the construction industry. While traditional drawing reviews rely on expert identification, this study aims to realize automatic code compliance review by using BIM technology combined with knowledge graph techniques. The proposed method uses a knowledge graph to transform textual code provisions into a computer-recognizable structured format via natural language processing, creating a human–machine-readable knowledge graph representation of the rules. For checking BIM models, the BIM data are exported and represented in RDF (using Protégé), and then mapping rules and review rules are applied to generate a compliance report. An example is presented to validate the feasibility of the approach. The results show that this method effectively addresses the manual dependence and inefficiency of traditional review processes:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10}",DeepSearch
Nanjiang Chen; Xuhui Lin; Hai Jiang; Yi An,Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,2024,,"Ensuring compliance with complex building standards and regulations during design is a significant challenge in the BIM domain. Manual compliance checking is inefficient and error-prone. Recent natural language processing (NLP) and deep learning methods have improved rule interpretation and checking, but they demand extensive feature engineering, large labeled datasets, and high computational resources. This study introduces an innovative automated compliance checking framework that integrates a large language model (LLM) with deep learning and ontology-based knowledge models. The LLM (with few-shot learning capability) is leveraged to reduce the need for large annotated datasets, while deep learning is used to preliminarily classify regulatory text sections, which improves the accuracy of structured information extraction by the LLM. By combining deep learning for text preprocessing with LLM-driven rule interpretation and an ontology for domain knowledge, the framework automates the processing of regulatory texts and significantly reduces manual intervention. In experiments, this approach markedly improves the efficiency and accuracy of compliance checks, offering a scalable and adaptable solution for automated compliance checking in construction:contentReference[oaicite:21]{index=21}:contentReference[oaicite:22]{index=22}",DeepSearch
Zhiliang Ma; Honggang Zhu; Xinglei Xiang; Žiga Turk; Robert Klinc,Automatic compliance checking of BIM models against quality standards based on ontology technology,2024,,"This paper presents an ontology-based approach for automatically checking BIM models against established quality standards. Ontology technology is used to formalize the content of BIM quality standards, enabling computer-interpretable representations of the rules. An inference mechanism is then employed to assess a BIM model’s quality compliance with the given standard. A prototype implementation is developed to validate the effectiveness of the proposed framework. In a case study, the system automatically identified compliance issues by reasoning over the ontological representations of both the BIM model data and the quality standard rules:contentReference[oaicite:25]{index=25}:contentReference[oaicite:26]{index=26}",DeepSearch
Lu Jia; Maokang Chen; Chen Chen; Yanfeng Jin,A Semantic Web and IFC-Based Framework for Automated BIM Compliance Checking,2025,,"Manual inspection of building design deliverables is time-consuming, labor-intensive, and prone to errors. With the development of BIM technology, automated rule compliance checking has become a trending solution. This paper presents a method that combines Semantic Web technologies with IFC-based data to enhance human–machine collaborative code compliance checking. First, a five-step process (integrated with domain specifications) is designed to construct a building object ontology that covers most architectural objects in the AEC domain. Next, a set of mapping rules is defined (based on how IFC entities express information) to create a semantic link between the ifcOWL representation of BIM data and the building object ontology. Then, by analyzing building regulations, generic SPARQL query templates are developed for major types of constraints. Finally, a case study using the Jena semantic framework validates the feasibility of the proposed method, demonstrating that the Semantic Web/IFC-based approach can successfully check a BIM model for compliance with regulatory requirements:contentReference[oaicite:29]{index=29}:contentReference[oaicite:30]{index=30}",DeepSearch
Sihao Li; Ziyang Jiang; Zhao Xu,BIM-Based Model Checking: A Scientometric Analysis and Critical Review,2025,,"Building Information Modeling (BIM) has been widely applied throughout project lifecycles in the AEC industry, and errors in BIM models can lead to significant losses. This has driven increasing attention to BIM-based model checking (BMC) technologies. Despite numerous publications describing BMC methods, there has been a lack of systematic analysis and visualization of existing research. This paper conducts a combined scientometric analysis and critical review of BMC-related studies published from 2008 to 2024 in Web of Science and Scopus. The scientometric analysis objectively presents the state and evolution of the field using quantitative data (e.g. publication counts, author networks, citation analysis). The critical review then qualitatively examines the content of the literature, summarizing key research topics and current challenges. Finally, the study identifies promising future research directions for advancing BIM-based model checking. This work provides a comprehensive overview of the development of automated compliance checking (ACC) and related model checking research in BIM, helping researchers understand trends and gaps in the domain:contentReference[oaicite:33]{index=33}:contentReference[oaicite:34]{index=34}",DeepSearch
Zijing Zhang; Nicholas Nisbet; Ling Ma; Tim Broyd:contentReference[oaicite:1]{index=1},Capabilities of rule representations for automated compliance checking in healthcare buildings:contentReference[oaicite:0]{index=0},2023:contentReference[oaicite:2]{index=2},,"A suitable rule representation is essential to enable automated compliance checking of building design... This paper aims to identify capabilities needed for rule representation by using healthcare design regulations as an example... The results showed 18 capabilities for healthcare rule representation, where 16 are required, and two are desirable:contentReference[oaicite:4]{index=4}.",DeepSearch
K. W. Johansen; J. Teizer; C. Schultz:contentReference[oaicite:7]{index=7},Automated rule-based safety inspection and compliance checking of temporary guardrail systems in construction:contentReference[oaicite:6]{index=6},2024:contentReference[oaicite:8]{index=8},,This paper proposes an automated rule-based inspection and compliance-checking system that can assist in detecting faulty guardrails in live work environments. The classification approach utilizes safety design and mimics the steps of human guardrailing compliance assessment... This first-of-a-kind classification approach is reliable and scalable and successfully classifies various scenarios of guardrail systems for fall protection:contentReference[oaicite:10]{index=10}.,DeepSearch
Zijing Zhang; Ling Ma; Tim Broyd:contentReference[oaicite:13]{index=13},Rule capture of automated compliance checking of building requirements: a review:contentReference[oaicite:12]{index=12},2023:contentReference[oaicite:14]{index=14},,"Automated compliance checking (ACC) was proposed as a solution to the error-prone and time-consuming manual compliance-checking process. Rule capture is a crucial bottleneck of ACC. This paper conducts a systematic literature review and identifies challenges in rule capture for ACC... The findings reveal that existing representations cannot handle 'unknowns' and 'side effects', lack ability to deal with ambiguous rules, and are often restricted by the rule engine or data model:contentReference[oaicite:16]{index=16}.",DeepSearch
Hansi Hettiarachchi; Amna Dridi; Mohamed M. Gaber; Pouyan Parsafard; Nicoleta Bocaneala; Katja Breitenfelder; Gonçal Costa; Maria M. Hedblom; Mihaela Juganaru-Mathieu; Thamer Mecharnia; Sumee Park; He Tan; Abdel-Rahman H. Tawil; Edlira Vakaj:contentReference[oaicite:19]{index=19},CODE-ACCORD: A Corpus of building regulatory data for rule generation towards automatic compliance checking:contentReference[oaicite:18]{index=18},2025:contentReference[oaicite:20]{index=20},,"Automatic Compliance Checking (ACC) necessitates automating the interpretation of building regulations. We introduce CODE-ACCORD, a dataset of 862 sentences from building regulations of England and Finland. Each sentence was manually annotated with entities and relations to facilitate machine-readable rule generation. The final dataset comprises thousands of entities and relations, serving as a robust ground truth for applying ML and NLP techniques to ACC:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}.",DeepSearch
Thomas Beach; Jonathan Yeung; Ali Ghorghi; Yacine Rezgui:contentReference[oaicite:26]{index=26},Moving automated compliance checking to the operational phase of the building life-cycle: analysis and feasibility study in the UK:contentReference[oaicite:25]{index=25},2024:contentReference[oaicite:27]{index=27},,"Construction regulations ensure baseline safety for built assets. Formal compliance checks occur at defined life-cycle points and often lack automation. This paper extends compliance checking into the operational phase of buildings using automated/semi-automated data capture and analysis. Findings show that whole-life compliance checking is vital but impractical through purely manual inspections, and identify viable use cases and technologies for an automated approach:contentReference[oaicite:29]{index=29}:contentReference[oaicite:30]{index=30}.",DeepSearch
Joseph Anim; Livio Robaldo; Adam Z. Wyner:contentReference[oaicite:34]{index=34},A SHACL-Based Approach for Enhancing Automated Compliance Checking with RDF Data:contentReference[oaicite:33]{index=33},2024:contentReference[oaicite:35]{index=35},,"Automated Compliance Checking (ACC) is increasingly important for enforcing legal regulations. This paper leverages Semantic Web technologies, focusing on executing SHACL-SPARQL rules on RDF data. The approach addresses limitations of traditional ACC by handling nuanced temporal and aggregate requirements in legal reasoning. A case study on regulations with aggregate and temporal facets demonstrates the effectiveness of the proposed solution in improving ACC via standardized, interoperable Semantic Web methods:contentReference[oaicite:37]{index=37}:contentReference[oaicite:38]{index=38}.",DeepSearch
Omar Doukari; David Greenwood; Kay Rogage; Mohamad Kassem:contentReference[oaicite:41]{index=41},"Object-centred automated compliance checking: a novel, bottom-up approach:contentReference[oaicite:40]{index=40}",2022:contentReference[oaicite:42]{index=42},,"Building Information Modelling (BIM) represents built assets as objects with identity, attributes, and relations, enabling new compliance approaches. This paper proposes a bottom-up object-centred method for automated model checking, using a simulated annealing-inspired classification. A prototype demonstrates four key processes (content validation, model completeness, smart object, and design option checking) and satisfies desired compliance checking characteristics. Case studies show the approach saves around 125 minutes per object compared to manual methods:contentReference[oaicite:44]{index=44}:contentReference[oaicite:45]{index=45}.",DeepSearch
Junlong Peng; Xiangjun Liu:contentReference[oaicite:48]{index=48},Automated code compliance checking research based on BIM and knowledge graph:contentReference[oaicite:47]{index=47},2023:contentReference[oaicite:49]{index=49},,"Traditional drawing reviews rely on experts, but this study achieves automatic code compliance checking by combining BIM and knowledge graphs. Regulatory text is converted into a computer-readable structured language using NLP to form a human–machine-readable knowledge graph. BIM model information is extracted and mapped to compliance rules. An example validates that this method effectively addresses the ""manual dependency"" and ""inefficiency"" issues in the review process:contentReference[oaicite:51]{index=51}:contentReference[oaicite:52]{index=52}.",DeepSearch
Z. Zheng; Y. C. Zhou; X. Z. Lu; J. R. Lin:contentReference[oaicite:55]{index=55},Knowledge-Informed Semantic Alignment and Rule Interpretation for Automated Compliance Checking:contentReference[oaicite:54]{index=54},2022:contentReference[oaicite:56]{index=56},,"Automated rule checking (ARC) in construction requires intelligent rule interpretation from regulatory text and alignment of concepts across models and regulations. This paper presents a knowledge-informed framework using NLP to bridge semantic gaps between design BIM models and textual regulations. An ontology captures domain knowledge (concepts, synonyms, constraints). Semantic alignment and conflict resolution techniques, aided by domain knowledge and unsupervised learning, enhance rule interpretation. The method generates SPARQL queries for model checking, enabling interpretation of complex rules with implicit data. Experiments show ~90% accuracy, significantly outperforming keyword matching, and the automated rule interpretation is ~5× faster than manual expert interpretation:contentReference[oaicite:58]{index=58}:contentReference[oaicite:59]{index=59}.",DeepSearch
